show_id,type,title,director,country,date_added,release_year,rating,durations,listed_in,description
s0225,TV Show,Title 225,Raúl Campos,Canada,"October 19, 2019",2015,G,5 min,Romantic,Sample description for Title 225.
s0226,TV Show,Title 226,Jay Karas,Spain,"April 23, 2022",2025,PG-13,5 min,Romantic,Sample description for Title 226.
s0227,TV Show,Title 227,Marcus Raboy,Japan,"June 30, 2024",2025,PG,1 min,Children & Family,Sample description for Title 227.
s0228,TV Show,Title 228,Jay Karas,Mexico,"June 24, 2024",2024,PG,2 min,Drama,Sample description for Title 228.
s0229,TV Show,Title 229,Ken Burns,Mexico,"May 03, 2021",2021,G,4 min,Action,Sample description for Title 229.
s0230,TV Show,Title 230,Martin Scorsese,Japan,"October 09, 2018",2022,TV-MA,4 min,Children & Family,Sample description for Title 230.
s0231,TV Show,Title 231,Jay Karas,Spain,"July 11, 2022",2013,PG-13,8 min,Drama,Sample description for Title 231.
s0232,TV Show,Title 232,Ken Burns,India,"July 21, 2023",2013,TV-MA,6 min,Horror,Sample description for Title 232.
s0233,TV Show,Title 233,Steven Spielberg,India,"January 11, 2019",2020,TV-14,3 min,Horror,Sample description for Title 233.
s0234,TV Show,Title 234,Raúl Campos,France,"June 04, 2020",2013,TV-MA,4 min,Thriller,Sample description for Title 234.
s0235,TV Show,Title 235,Ava DuVernay,Canada,"September 03, 2018",2016,PG-13,1 min,Thriller,Sample description for Title 235.
s0236,TV Show,Title 236,Martin Scorsese,Brazil,"May 16, 2022",2019,TV-MA,7 min,Romantic,Sample description for Title 236.
s0237,TV Show,Title 237,Jay Karas,France,"December 07, 2018",2017,PG,5 min,Crime,Sample description for Title 237.
s0238,TV Show,Title 238,Youssef Chahine,United Kingdom,"September 26, 2018",2012,TV-14,3 min,International Movies,Sample description for Title 238.
s0239,TV Show,Title 239,Youssef Chahine,Mexico,"May 09, 2023",2010,G,6 min,Thriller,Sample description for Title 239.
s0240,TV Show,Title 240,Ken Burns,South Korea,"March 09, 2020",2010,TV-PG,2 min,International Movies,Sample description for Title 240.
s0241,TV Show,Title 241,Marcus Raboy,Canada,"June 19, 2022",2011,TV-14,7 min,Horror,Sample description for Title 241.
s0242,TV Show,Title 242,Marcus Raboy,Brazil,"December 17, 2021",2025,TV-PG,8 min,Children & Family,Sample description for Title 242.
s0243,TV Show,Title 243,Suhas Kadav,Canada,"May 06, 2022",2018,TV-MA,2 min,Thriller,Sample description for Title 243.
s0244,TV Show,Title 244,Ava DuVernay,Mexico,"September 15, 2022",2018,TV-14,8 min,International Movies,Sample description for Title 244.
s0245,TV Show,Title 245,Raúl Campos,United Kingdom,"September 27, 2020",2016,PG,8 min,Comedy,Sample description for Title 245.
s0246,TV Show,Title 246,Steven Spielberg,United Kingdom,"March 30, 2019",2017,R,5 min,Drama,Sample description for Title 246.
s0247,TV Show,Title 247,Ava DuVernay,United Kingdom,"March 04, 2019",2020,TV-14,1 min,Drama,Sample description for Title 247.
s0248,TV Show,Title 248,Raúl Campos,United Kingdom,"May 07, 2023",2019,PG,5 min,Action,Sample description for Title 248.
s0249,TV Show,Title 249,Raúl Campos,India,"October 30, 2018",2013,TV-PG,7 min,Documentaries,Sample description for Title 249.
s0250,TV Show,Title 250,Jay Karas,South Korea,"February 16, 2019",2018,G,2 min,Thriller,Sample description for Title 250.
s0251,TV Show,Title 251,Ken Burns,Mexico,"August 22, 2020",2017,PG,7 min,Documentaries,Sample description for Title 251.
s0252,TV Show,Title 252,Steven Spielberg,South Korea,"May 18, 2023",2025,PG-13,7 min,Horror,Sample description for Title 252.
s0253,TV Show,Title 253,Jay Karas,Mexico,"March 11, 2021",2021,R,5 min,Horror,Sample description for Title 253.
s0254,TV Show,Title 254,Ava DuVernay,United Kingdom,"December 12, 2020",2020,PG-13,8 min,International Movies,Sample description for Title 254.
s0255,TV Show,Title 255,Youssef Chahine,India,"June 24, 2024",2021,R,7 min,Horror,Sample description for Title 255.
s0256,TV Show,Title 256,Youssef Chahine,South Korea,"October 03, 2023",2014,TV-14,3 min,Documentaries,Sample description for Title 256.
s0257,TV Show,Title 257,Martin Scorsese,United Kingdom,"August 07, 2018",2025,TV-MA,4 min,Thriller,Sample description for Title 257.
s0258,TV Show,Title 258,Jay Karas,Brazil,"May 06, 2018",2023,TV-MA,7 min,Romantic,Sample description for Title 258.
s0259,TV Show,Title 259,Raúl Campos,France,"October 21, 2022",2020,G,2 min,Documentaries,Sample description for Title 259.
s0260,TV Show,Title 260,Suhas Kadav,Brazil,"January 08, 2021",2019,TV-PG,4 min,Children & Family,Sample description for Title 260.
s0261,TV Show,Title 261,Ava DuVernay,United Kingdom,"August 02, 2022",2021,PG,6 min,International Movies,Sample description for Title 261.
s0262,TV Show,Title 262,Rajiv Chilaka,Brazil,"November 11, 2018",2020,PG,2 min,International Movies,Sample description for Title 262.
s0263,TV Show,Title 263,Jay Karas,Japan,"April 11, 2021",2014,R,4 min,Romantic,Sample description for Title 263.
s0264,TV Show,Title 264,Ken Burns,Mexico,"November 17, 2023",2023,R,4 min,Action,Sample description for Title 264.
s0265,TV Show,Title 265,Raúl Campos,Spain,"July 21, 2018",2010,R,3 min,Thriller,Sample description for Title 265.
s0266,TV Show,Title 266,Youssef Chahine,South Korea,"August 03, 2024",2011,TV-14,8 min,International Movies,Sample description for Title 266.
s0267,TV Show,Title 267,Raúl Campos,Japan,"July 27, 2021",2020,G,3 min,Romantic,Sample description for Title 267.
s0268,TV Show,Title 268,Ava DuVernay,Brazil,"August 19, 2020",2024,R,8 min,Children & Family,Sample description for Title 268.
s0269,TV Show,Title 269,Steven Spielberg,Spain,"September 15, 2022",2021,G,6 min,Action,Sample description for Title 269.
s0270,TV Show,Title 270,Steven Spielberg,India,"September 20, 2023",2023,PG,8 min,Documentaries,Sample description for Title 270.
s0271,TV Show,Title 271,Suhas Kadav,India,"April 16, 2021",2025,R,6 min,Crime,Sample description for Title 271.
s0272,TV Show,Title 272,Youssef Chahine,Japan,"May 05, 2018",2019,PG,6 min,Children & Family,Sample description for Title 272.
s0273,TV Show,Title 273,Jay Karas,India,"April 30, 2018",2022,TV-PG,4 min,Romantic,Sample description for Title 273.
s0274,TV Show,Title 274,Ken Burns,India,"June 06, 2023",2023,G,7 min,Documentaries,Sample description for Title 274.
s0275,TV Show,Title 275,Ava DuVernay,United States,"January 26, 2018",2012,TV-MA,1 min,Horror,Sample description for Title 275.
s0276,TV Show,Title 276,Youssef Chahine,Canada,"January 22, 2019",2023,TV-14,8 min,Romantic,Sample description for Title 276.
s0277,TV Show,Title 277,Ava DuVernay,United Kingdom,"October 14, 2018",2012,TV-MA,5 min,Comedy,Sample description for Title 277.
s0278,TV Show,Title 278,Ava DuVernay,Japan,"May 12, 2018",2014,TV-PG,8 min,Action,Sample description for Title 278.
s0279,TV Show,Title 279,Ava DuVernay,India,"November 24, 2022",2018,R,6 min,Action,Sample description for Title 279.
s0280,TV Show,Title 280,Martin Scorsese,Mexico,"May 29, 2018",2015,TV-14,1 min,Comedy,Sample description for Title 280.
s0281,TV Show,Title 281,Suhas Kadav,Canada,"July 26, 2023",2020,TV-MA,7 min,Romantic,Sample description for Title 281.
s0282,TV Show,Title 282,Raúl Campos,South Korea,"November 15, 2019",2013,PG-13,6 min,International Movies,Sample description for Title 282.
s0283,TV Show,Title 283,Jay Karas,Mexico,"March 09, 2023",2018,R,2 min,Documentaries,Sample description for Title 283.
s0284,TV Show,Title 284,Suhas Kadav,France,"May 13, 2021",2025,G,8 min,Children & Family,Sample description for Title 284.
s0285,TV Show,Title 285,Jay Karas,Brazil,"September 10, 2022",2011,R,3 min,Thriller,Sample description for Title 285.
s0286,TV Show,Title 286,Ava DuVernay,United Kingdom,"June 07, 2019",2022,PG-13,3 min,Horror,Sample description for Title 286.
s0287,TV Show,Title 287,Rajiv Chilaka,Mexico,"March 26, 2018",2022,PG,4 min,Crime,Sample description for Title 287.
s0288,TV Show,Title 288,Martin Scorsese,United Kingdom,"July 14, 2023",2023,TV-PG,7 min,Comedy,Sample description for Title 288.
s0289,TV Show,Title 289,Jay Karas,Spain,"November 12, 2018",2021,TV-MA,6 min,International Movies,Sample description for Title 289.
s0290,TV Show,Title 290,Marcus Raboy,Brazil,"October 12, 2024",2018,TV-PG,7 min,Romantic,Sample description for Title 290.
s0291,TV Show,Title 291,Rajiv Chilaka,United States,"February 04, 2022",2024,TV-14,2 min,Romantic,Sample description for Title 291.
s0292,TV Show,Title 292,Steven Spielberg,South Korea,"May 23, 2022",2013,TV-14,6 min,Documentaries,Sample description for Title 292.
s0293,TV Show,Title 293,Ava DuVernay,Mexico,"February 21, 2023",2022,R,7 min,International Movies,Sample description for Title 293.
s0294,TV Show,Title 294,Rajiv Chilaka,India,"June 02, 2020",2014,PG-13,3 min,Crime,Sample description for Title 294.
s0295,TV Show,Title 295,Jay Karas,Japan,"August 08, 2019",2020,TV-PG,1 min,Thriller,Sample description for Title 295.
s0296,TV Show,Title 296,Martin Scorsese,Mexico,"October 27, 2021",2015,TV-PG,5 min,Drama,Sample description for Title 296.
s0297,TV Show,Title 297,Steven Spielberg,India,"January 15, 2020",2020,TV-PG,7 min,Drama,Sample description for Title 297.
s0298,TV Show,Title 298,Steven Spielberg,Spain,"May 06, 2021",2012,G,6 min,Drama,Sample description for Title 298.
s0299,TV Show,Title 299,Martin Scorsese,Japan,"August 26, 2021",2016,PG-13,4 min,Romantic,Sample description for Title 299.
s0300,TV Show,Title 300,Raúl Campos,South Korea,"April 30, 2020",2019,G,6 min,Action,Sample description for Title 300.
